date,realized_return,equity,prob,prob_signal,signal,target_exposure,exposure,turnover,cost_next_day,prob_thresh,prob_reset_thresh,spread,spread_z,z_entry_dynamic,capital_weight,spread_ret,eurusd,usdinr,eurinr,implied_eurusd,retrained,trained_week,trained_through,n_train_rows,threshold_validation_sharpe,threshold_validation_return,threshold_validation_trades,drawdown,peak_equity,consecutive_losses,cooldown_days_remaining,risk_stop_active,risk_action,risk_reason
2026-08-10,-0.004094608502507891,0.9762460521728261,0.9914529919624329,1,1,1.7414529919624329,1.737417141596476,0.0,0.0,0.55,0.45,-4.136697084144991e-05,0.6476982693986246,0.08572871543610841,1.25,-0.0023567215980990273,1.1546010971069336,95.29000091552734,110.01799774169922,1.1545597301360921,True,2026-W33,2026-08-07,2509,2.889014016803668,0.33222393510826254,156,-0.023753947827173882,1.0,2,0,False,none,consecutive_losses
2026-08-11,-0.00869353853427074,0.967759019499332,0.995327095190684,0,0,0.0,0.0,1.737417141596476,0.0005212251424789428,0.55,0.45,2.0997069019035308e-05,0.7403827973627786,0.09722857368751538,1.25,-0.005003714033972538,1.1544678211212158,95.42500305175781,110.16709899902344,1.1544888181902349,False,2026-W33,2026-08-07,2509,2.889014016803668,0.33222393510826254,156,-0.03224098050066804,1.0,3,5,False,cooldown,consecutive_losses
2026-08-12,-0.0005212251424789428,0.9672545991665081,0.995327095190684,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0003612029587174437,0.5622100352345479,0.10088772895358433,1.25,-0.001586589586488929,1.1528706550598145,95.31999969482422,109.8572006225586,1.152509452101097,False,2026-W33,2026-08-07,2509,2.889014016803668,0.33222393510826254,156,-0.03274540083349187,1.0,4,5,False,cooldown,consecutive_losses
2026-08-13,0.0,0.9672545991665081,0.05441240842143694,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.000313405646711562,0.5083145575495569,0.1063092360103782,1.25,7.065692823869619e-05,1.15340256690979,95.43000030517578,110.03929901123047,1.1530891612630785,False,2026-W33,2026-08-07,2509,2.889014016803668,0.33222393510826254,156,-0.03274540083349187,1.0,0,4,False,cooldown,consecutive_losses
2026-08-14,-0.0,0.9672545991665081,0.995327095190684,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.00018396723446945096,0.5184750088554033,0.10914163258163616,1.25,-0.0008227348008116568,1.157273530960083,95.41500091552734,110.40370178222656,1.1570895637256136,False,2026-W33,2026-08-07,2509,2.889014016803668,0.33222393510826254,156,-0.03274540083349187,1.0,0,3,False,cooldown,consecutive_losses
2026-08-17,-0.0,0.9672545991665081,0.9953488310178121,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-3.2003383406919994e-05,0.5631494367040044,0.10914163258163616,1.25,-0.0004129812248814118,1.158077597618103,95.59200286865234,110.69989776611328,1.158045594234696,True,2026-W34,2026-08-14,2514,2.737469292114783,0.29291017643218686,155,-0.03274540083349187,1.0,0,2,False,cooldown,consecutive_losses
2026-08-18,-0.0,0.9672545991665081,0.9953488310178121,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.00015417584802257522,0.37679902179805785,0.10914163258163616,1.25,-0.031810553180455524,1.1579434871673584,95.66999816894531,110.76570129394531,1.1577893113193358,False,2026-W34,2026-08-14,2514,2.737469292114783,0.29291017643218686,155,-0.03274540083349187,1.0,0,1,False,cooldown,consecutive_losses
2026-08-19,-0.0,0.9672545991665081,0.9953488310178121,1,1,2.0,2.0,2.0,0.0006,0.55,0.45,-0.00024577555771609916,0.35668112153145004,0.10914163258163616,2.5,-0.0014844329034934569,1.1680878400802612,95.74299621582031,111.81269836425781,1.1678420645225451,False,2026-W34,2026-08-14,2514,2.737469292114783,0.29291017643218686,155,-0.03274540083349187,1.0,0,0,False,none,consecutive_losses
2026-08-20,-0.004477504783102197,0.9629237120722626,0.9953488310178121,1,1,2.0,2.0,0.0,0.0,0.55,0.45,-0.0005000410572850722,0.34272746436334317,0.1063092360103782,2.5,-0.0019387523915510984,1.1684973239898682,95.69499969482422,111.77149963378906,1.167997282932583,False,2026-W34,2026-08-14,2514,2.737469292114783,0.29291017643218686,155,-0.03707628792773743,1.0,1,0,False,none,consecutive_losses
2026-08-21,0.0033221261221464283,0.9661226660897719,0.8303612867991129,1,1,2.0,2.0,0.0,0.0,0.55,0.45,0.00042671861969711955,0.3989791313057756,0.1063092360103782,2.5,0.0016610630610732141,1.1678149700164795,95.68499755859375,111.783203125,1.1682416886361766,False,2026-W34,2026-08-14,2514,2.737469292114783,0.29291017643218686,155,-0.03387733391022807,1.0,0,0,False,none,consecutive_losses
2026-08-24,-0.002485278927091236,0.9637215817867538,0.9724987149238586,1,1,2.0,2.0,0.0,0.0,0.55,0.45,-0.00018964856059344726,0.3267577674340954,0.1063092360103782,2.5,-0.001242639463545618,1.1668611764907837,95.73500061035156,111.69129943847656,1.1666715279301902,True,2026-W35,2026-08-21,2519,2.8097384750139724,0.3447084001683225,155,-0.03627841821324618,1.0,1,0,False,none,consecutive_losses
2026-08-25,-0.001886356349997576,0.9619036594613207,0.9724987149238586,1,1,2.0,2.0,0.0,0.0,0.55,0.45,-0.0002870555349208104,0.3407286075266428,0.1063092360103782,2.5,-0.000943178174998788,1.1678149700164795,95.4020004272461,111.3844985961914,1.1675279144815587,False,2026-W35,2026-08-21,2519,2.8097384750139724,0.3447084001683225,155,-0.038096340538679274,1.0,2,0,False,none,consecutive_losses
2026-08-26,-0.03942915242971692,0.9239766134497178,0.9681288202603658,0,0,0.0,0.0,2.0,0.0006,0.55,0.45,0.022452605729977648,2.4417552173565773,0.1063092360103782,2.5,-0.01971457621485846,1.1674741506576538,93.54609680175781,111.31300354003906,1.1899267563876315,False,2026-W35,2026-08-21,2519,2.8097384750139724,0.3447084001683225,155,-0.07602338655028218,1.0,3,5,False,cooldown,consecutive_losses
2026-08-27,-0.0006,0.9234222274816479,0.8608843485514323,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.00014237028441765887,0.1644028218672904,0.10914163258163616,2.5,0.019377450513348483,1.16604483127594,95.4000015258789,111.22709655761719,1.1659024609915223,False,2026-W35,2026-08-21,2519,2.8097384750139724,0.3447084001683225,155,-0.07657777251835207,1.0,4,5,False,cooldown,consecutive_losses
2026-08-28,-0.0,0.9234222274816479,0.9724987149238586,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0002060828014043281,0.15824163872492358,0.10914163258163616,2.5,-0.0006042242529423484,1.1648223400115967,95.55799865722656,111.28839874267578,1.1646162572101924,False,2026-W35,2026-08-21,2519,2.8097384750139724,0.3447084001683225,155,-0.07657777251835207,1.0,0,4,False,cooldown,consecutive_losses
2026-08-31,0.0,0.9234222274816479,0.05109705155094465,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.028893512973143354,-2.190762530089059,0.1063092360103782,1.25,0.023686211242086277,1.1588962078094482,95.38030242919922,107.77999877929688,1.1300026948363049,True,2026-W36,2026-08-28,2524,2.490198683224366,0.34285834681942906,153,-0.07657777251835207,1.0,0,3,False,cooldown,consecutive_losses
2026-09-01,-0.0,0.9234222274816479,0.9917582273483276,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.00022599297978942445,0.2697461391222708,0.1063092360103782,1.25,-0.024675854441587406,1.1617640256881714,95.1144027709961,110.47899627685547,1.161538032708382,False,2026-W36,2026-08-28,2524,2.490198683224366,0.34285834681942906,153,-0.07657777251835207,1.0,0,2,False,cooldown,consecutive_losses
2026-09-02,0.0,0.9234222274816479,0.016987843438982964,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0011242145596550568,0.20739767867750838,0.10914163258163616,1.25,0.0007746262978635334,1.1595547199249268,94.9552001953125,109.9990005493164,1.1584305053652717,False,2026-W36,2026-08-28,2524,2.490198683224366,0.34285834681942906,153,-0.07657777251835207,1.0,0,1,False,cooldown,consecutive_losses
2026-09-03,-0.0,0.9234222274816479,0.9850915670394897,1,1,1.7350915670394897,1.7350915670394897,1.7350915670394897,0.0005205274701118469,0.55,0.45,0.005099202184405183,0.7050368837526306,0.10914163258163616,1.25,-0.005371804708918898,1.1585336923599243,94.48770141601562,109.9489974975586,1.1636328945443295,False,2026-W36,2026-08-28,2524,2.490198683224366,0.34285834681942906,153,-0.07657777251835207,1.0,0,0,False,none,consecutive_losses
2026-09-04,0.008220102088192831,0.9310128524620536,0.7685185273488363,1,1,1.4336208180258925,1.4336208180258925,0.3014707490135973,9.044122470407918e-05,0.55,0.45,-0.0007550234716637849,0.19416966407700614,0.10914163258163616,1.25,0.005037560970467069,1.1621150970458984,94.4800033569336,109.72530364990234,1.1613600735742347,False,2026-W36,2026-08-28,2524,2.490198683224366,0.34285834681942906,153,-0.06898714753794644,1.0,0,0,False,none,consecutive_losses
2026-09-07,-0.0011132826684726127,0.9299763719892823,0.9757887721061707,1,1,1.712263366696788,1.712263366696788,0.27864254867089544,8.359276460126862e-05,0.55,0.45,-0.00021519264959479756,0.21525764144242895,0.10914163258163616,1.25,-0.0007134672089771928,1.1613997220993042,94.4302978515625,109.6510009765625,1.1611845294497094,True,2026-W37,2026-09-04,2529,2.4519353084136792,0.3338667277763936,153,-0.07002362801071771,1.0,1,0,False,none,consecutive_losses
2026-09-08,0.0007489053772350007,0.9306728362949664,0.0,0,0,0.0,0.0,1.712263366696788,0.0005136790100090363,0.55,0.45,-0.0007805254428934205,0.1592471510222064,0.10914163258163616,1.25,0.00048619748458572865,1.1627637147903442,94.49189758300781,109.7979965209961,1.1619831893474508,False,2026-W37,2026-09-04,2529,2.4519353084136792,0.3338667277763936,153,-0.06932716370503356,1.0,0,0,False,none,consecutive_losses
